,state,income,abbr,brewery_count,population,wineries
0,ALABAMA,49936,AL,53,4887871,9
1,ALASKA,68734,AK,49,737438,8
2,ARIZONA,62283,AZ,129,7171646,26
3,ARKANSAS,49781,AR,45,3013825,10
4,CALIFORNIA,70489,CA,1019,39557045,2025
5,COLORADO,73034,CO,467,5695564,72
6,CONNECTICUT,72812,CT,114,3572665,28
7,DELAWARE,65012,DE,30,967171,2
8,FLORIDA,54644,FL,377,21299325,46
9,GEORGIA,55821,GA,141,10519475,20
10,HAWAII,80108,HI,29,1420491,4
11,IDAHO,58728,ID,74,1754208,32
12,ILLINOIS,70145,IL,325,12741080,83
13,INDIANA,59892,IN,192,6691878,40
14,IOWA,68718,IA,101,3156145,62
15,KANSAS,63938,KS,64,2911505,16
16,KENTUCKY,54555,KY,74,4468402,44
17,LOUISIANA,49973,LA,51,4659978,7
18,MAINE,58663,ME,134,1338404,14
19,MARYLAND,86223,MD,134,6042718,31
20,MASSACHUSETTS,86345,MA,198,6902149,31
21,MICHIGAN,60449,MI,401,9995915,112
22,MINNESOTA,71817,MN,214,5611179,26
23,MISSISSIPPI,42781,MS,16,2986530,2
24,MISSOURI,61726,MO,152,6126452,86
25,MONTANA,57679,MT,103,1062305,10
26,NEBRASKA,67575,NE,57,1929268,20
27,NEVADA,61864,NV,58,3034392,5
28,NEW HAMPSHIRE,81346,NH,93,1356458,10
29,NEW JERSEY,74176,NJ,153,8908520,41
30,NEW MEXICO,48283,NM,99,2095428,36
31,NEW YORK,67274,NY,487,19542209,239
32,NORTH CAROLINA,53369,NC,367,10383620,74
33,NORTH DAKOTA,66505,ND,24,760077,8
34,OHIO,61633,OH,334,11689442,108
35,OKLAHOMA,54434,OK,63,3943079,46
36,OREGON,69165,OR,321,4190713,295
37,PENNSYLVANIA,64524,PA,434,12807060,115
38,RHODE ISLAND,62266,RI,34,1057315,7
39,SOUTH CAROLINA,57444,SC,96,5084127,11
40,SOUTH DAKOTA,59463,SD,37,882235,14
41,TENNESSEE,56060,TN,122,6770010,29
42,TEXAS,59785,TX,417,28701845,136
43,UTAH,77067,UT,49,3161105,7
44,VERMONT,70066,VT,78,626299,14
45,VIRGINIA,77151,VA,309,8517685,140
46,WASHINGTON,79726,WA,445,7535591,451
47,WEST VIRGINIA,50573,WV,30,1805832,16
48,WISCONSIN,62629,WI,232,5813568,41
49,WYOMING,62539,WY,42,577737,3
