state,2018_income
UNITED STATES,63179
ALABAMA,49936
ALASKA,68734
ARIZONA,62283
ARKANSAS,49781
CALIFORNIA,70489
COLORADO,73034
CONNECTICUT,72812
DELAWARE,65012
DISTRICT OF COLUMBIA,85750
FLORIDA,54644
GEORGIA,55821
HAWAII,80108
IDAHO,58728
ILLINOIS,70145
INDIANA,59892
IOWA,68718
KANSAS,63938
KENTUCKY,54555
LOUISIANA,49973
MAINE,58663
MARYLAND,86223
MASSACHUSETTS,86345
MICHIGAN,60449
MINNESOTA,71817
MISSISSIPPI,42781
MISSOURI,61726
MONTANA,57679
NEBRASKA,67575
NEVADA,61864
NEW HAMPSHIRE,81346
NEW JERSEY,74176
NEW MEXICO,48283
NEW YORK,67274
NORTH CAROLINA,53369
NORTH DAKOTA,66505
OHIO,61633
OKLAHOMA,54434
OREGON,69165
PENNSYLVANIA,64524
RHODE ISLAND,62266
SOUTH CAROLINA,57444
SOUTH DAKOTA,59463
TENNESSEE,56060
TEXAS,59785
UTAH,77067
VERMONT,70066
VIRGINIA,77151
WASHINGTON,79726
WEST VIRGINIA,50573
WISCONSIN,62629
WYOMING,62539
