state,population
UNITED STATES,327167434
ALABAMA,4887871
ALASKA,737438
ARIZONA,7171646
ARKANSAS,3013825
CALIFORNIA,39557045
COLORADO,5695564
CONNECTICUT,3572665
DELAWARE,967171
DISTRICT OF COLUMBIA,702455
FLORIDA,21299325
GEORGIA,10519475
HAWAII,1420491
IDAHO,1754208
ILLINOIS,12741080
INDIANA,6691878
IOWA,3156145
KANSAS,2911505
KENTUCKY,4468402
LOUISIANA,4659978
MAINE,1338404
MARYLAND,6042718
MASSACHUSETTS,6902149
MICHIGAN,9995915
MINNESOTA,5611179
MISSISSIPPI,2986530
MISSOURI,6126452
MONTANA,1062305
NEBRASKA,1929268
NEVADA,3034392
NEW HAMPSHIRE,1356458
NEW JERSEY,8908520
NEW MEXICO,2095428
NEW YORK,19542209
NORTH CAROLINA,10383620
NORTH DAKOTA,760077
OHIO,11689442
OKLAHOMA,3943079
OREGON,4190713
PENNSYLVANIA,12807060
RHODE ISLAND,1057315
SOUTH CAROLINA,5084127
SOUTH DAKOTA,882235
TENNESSEE,6770010
TEXAS,28701845
UTAH,3161105
VERMONT,626299
VIRGINIA,8517685
WASHINGTON,7535591
WEST VIRGINIA,1805832
WISCONSIN,5813568
WYOMING,577737
PUERTO RICO,3195153
