,state,income,abbr,brewery_count,population,wineries,pct_brewery,per_capita_beer,per_capita_wine,total_breweries,pct_winery,total_wineries
0,ALABAMA,49936,AL,53,4887871,9,0.58453733318628,92224.0,543097.0,9067,0.19100169779286927,4712
1,ALASKA,68734,AK,49,737438,8,0.5404213080401457,15050.0,92180.0,9067,0.1697792869269949,4712
2,ARIZONA,62283,AZ,129,7171646,26,1.4227418109628323,55594.0,275833.0,9067,0.5517826825127334,4712
3,ARKANSAS,49781,AR,45,3013825,10,0.49630528289401127,66974.0,301382.0,9067,0.21222410865874364,4712
4,CALIFORNIA,70489,CA,1019,39557045,2025,11.238557405977721,38819.0,19534.0,9067,42.97538200339559,4712
5,COLORADO,73034,CO,467,5695564,72,5.150545935811183,12196.0,79105.0,9067,1.5280135823429541,4712
6,CONNECTICUT,72812,CT,114,3572665,28,1.2573067166648286,31339.0,127595.0,9067,0.5942275042444821,4712
7,DELAWARE,65012,DE,30,967171,2,0.33087018859600753,32239.0,483586.0,9067,0.042444821731748725,4712
8,FLORIDA,54644,FL,377,21299325,46,4.157935370023161,56497.0,463029.0,9067,0.9762308998302207,4712
9,GEORGIA,55821,GA,141,10519475,20,1.5550898864012352,74606.0,525974.0,9067,0.4244482173174873,4712
10,HAWAII,80108,HI,29,1420491,4,0.3198411823094739,48982.0,355123.0,9067,0.08488964346349745,4712
11,IDAHO,58728,ID,74,1754208,32,0.8161464652034852,23706.0,54819.0,9067,0.6791171477079796,4712
12,ILLINOIS,70145,IL,325,12741080,83,3.5844270431234144,39203.0,153507.0,9067,1.7614601018675722,4712
13,INDIANA,59892,IN,192,6691878,40,2.117569207014448,34854.0,167297.0,9067,0.8488964346349746,4712
14,IOWA,68718,IA,101,3156145,62,1.113929634939892,31249.0,50906.0,9067,1.3157894736842104,4712
15,KANSAS,63938,KS,64,2911505,16,0.7058564023381494,45492.0,181969.0,9067,0.3395585738539898,4712
16,KENTUCKY,54555,KY,74,4468402,44,0.8161464652034852,60384.0,101555.0,9067,0.9337860780984719,4712
17,LOUISIANA,49973,LA,51,4659978,7,0.5624793206132127,91372.0,665711.0,9067,0.14855687606112053,4712
18,MAINE,58663,ME,134,1338404,14,1.4778868423955003,9988.0,95600.0,9067,0.29711375212224106,4712
19,MARYLAND,86223,MD,134,6042718,31,1.4778868423955003,45095.0,194926.0,9067,0.6578947368421052,4712
20,MASSACHUSETTS,86345,MA,198,6902149,31,2.1837432447336496,34859.0,222650.0,9067,0.6578947368421052,4712
21,MICHIGAN,60449,MI,401,9995915,112,4.422631520899967,24927.0,89249.0,9067,2.3769100169779285,4712
22,MINNESOTA,71817,MN,214,5611179,26,2.360207345318187,26220.0,215815.0,9067,0.5517826825127334,4712
23,MISSISSIPPI,42781,MS,16,2986530,2,0.17646410058453735,186658.0,1493265.0,9067,0.042444821731748725,4712
24,MISSOURI,61726,MO,152,6126452,86,1.6764089555531048,40306.0,71238.0,9067,1.825127334465195,4712
25,MONTANA,57679,MT,103,1062305,10,1.135987647512959,10314.0,106230.0,9067,0.21222410865874364,4712
26,NEBRASKA,67575,NE,57,1929268,20,0.6286533583324143,33847.0,96463.0,9067,0.4244482173174873,4712
27,NEVADA,61864,NV,58,3034392,5,0.6396823646189478,52317.0,606878.0,9067,0.10611205432937182,4712
28,NEW HAMPSHIRE,81346,NH,93,1356458,10,1.0256975846476233,14586.0,135646.0,9067,0.21222410865874364,4712
29,NEW JERSEY,74176,NJ,153,8908520,41,1.687437961839638,58226.0,217281.0,9067,0.870118845500849,4712
30,NEW MEXICO,48283,NM,99,2095428,36,1.0918716223668248,21166.0,58206.0,9067,0.7640067911714771,4712
31,NEW YORK,67274,NY,487,19542209,239,5.3711260615418555,40128.0,81767.0,9067,5.072156196943973,4712
32,NORTH CAROLINA,53369,NC,367,10383620,74,4.047645307157826,28293.0,140319.0,9067,1.5704584040747027,4712
33,NORTH DAKOTA,66505,ND,24,760077,8,0.264696150876806,31670.0,95010.0,9067,0.1697792869269949,4712
34,OHIO,61633,OH,334,11689442,108,3.683688099702217,34998.0,108236.0,9067,2.2920203735144313,4712
35,OKLAHOMA,54434,OK,63,3943079,46,0.6948273960516158,62589.0,85719.0,9067,0.9762308998302207,4712
36,OREGON,69165,OR,321,4190713,295,3.54031101797728,13055.0,14206.0,9067,6.260611205432936,4712
37,PENNSYLVANIA,64524,PA,434,12807060,115,4.786588728355575,29509.0,111366.0,9067,2.440577249575552,4712
38,RHODE ISLAND,62266,RI,34,1057315,7,0.37498621374214186,31098.0,151045.0,9067,0.14855687606112053,4712
39,SOUTH CAROLINA,57444,SC,96,5084127,11,1.058784603507224,52960.0,462193.0,9067,0.23344651952461798,4712
40,SOUTH DAKOTA,59463,SD,37,882235,14,0.4080732326017426,23844.0,63017.0,9067,0.29711375212224106,4712
41,TENNESSEE,56060,TN,122,6770010,29,1.345538766957097,55492.0,233449.0,9067,0.6154499151103565,4712
42,TEXAS,59785,TX,417,28701845,136,4.599095621484504,68829.0,211043.0,9067,2.886247877758913,4712
43,UTAH,77067,UT,49,3161105,7,0.5404213080401457,64512.0,451586.0,9067,0.14855687606112053,4712
44,VERMONT,70066,VT,78,626299,14,0.8602624903496194,8029.0,44736.0,9067,0.29711375212224106,4712
45,VIRGINIA,77151,VA,309,8517685,140,3.407962942538877,27565.0,60841.0,9067,2.9711375212224107,4712
46,WASHINGTON,79726,WA,445,7535591,451,4.907907797507445,16934.0,16709.0,9067,9.571307300509337,4712
47,WEST VIRGINIA,50573,WV,30,1805832,16,0.33087018859600753,60194.0,112864.0,9067,0.3395585738539898,4712
48,WISCONSIN,62629,WI,232,5813568,41,2.558729458475791,25058.0,141794.0,9067,0.870118845500849,4712
49,WYOMING,62539,WY,42,577737,3,0.4632182640344105,13756.0,192579.0,9067,0.0636672325976231,4712
